Question Title,Section,Instructor,Training(Chapter) ,Application,Type,Average Time on Task(HH MM SS),No. of Times Question Presented,% Correct(Guided / Unguided),Correct(Unguided),Correct(Guided),Skipped, 
"	AC Step 1.1.1: Open, Save, and Enable Content in a Database","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:05:14","	156","	99.36%","	72","	83","	0","	"
"	AC Step 1.1.1: Open, Save, and Enable Content in a Database","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:05:55","	143","	98.6%","	51","	90","	0","	"
"	AC Step 1.1.1: Open, Save, and Enable Content in a Database","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:06:12","	236","	99.58%","	112","	123","	0","	"
"	AC Step 1.1.1: Open, Save, and Enable Content in a Database","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:05:26","	202","	100%","	141","	61","	0","	"
"	AC Step 1.1.1: Open, Save, and Enable Content in a Database","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:05:49","	156","	100%","	80","	76","	0","	"
"	AC Step 1.1.1: Open, Save, and Enable Content in a Database","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Access 2019","	SIM5 Question","	00:06:26","	216","	100%","	113","	103","	0","	"
"	AC Step 1.1.1: Open, Save, and Enable Content in a Database","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Access 2019","	SIM5 Question","	00:04:25","	12","	100%","	5","	7","	0","	"
"	AC Step 1.1.2: Recognize Database Object Types","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:07:40","	156","	98.72%","	62","	92","	0","	"
"	AC Step 1.1.2: Recognize Database Object Types","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:07:56","	143","	100%","	34","	109","	0","	"
"	AC Step 1.1.2: Recognize Database Object Types","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:09:48","	236","	100%","	112","	124","	0","	"
"	AC Step 1.1.2: Recognize Database Object Types","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:06:45","	202","	100%","	131","	71","	0","	"
"	AC Step 1.1.2: Recognize Database Object Types","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:06:57","	156","	100%","	90","	66","	0","	"
"	AC Step 1.1.2: Recognize Database Object Types","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Access 2019","	SIM5 Question","	00:07:18","	216","	100%","	107","	109","	0","	"
"	AC Step 1.1.2: Recognize Database Object Types","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Access 2019","	SIM5 Question","	00:06:22","	12","	100%","	3","	9","	0","	"
"	AC Step 1.1.3: Modify Records in a Table","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:02:07","	156","	100%","	128","	28","	0","	"
"	AC Step 1.1.3: Modify Records in a Table","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:02:46","	143","	100%","	103","	40","	0","	"
"	AC Step 1.1.3: Modify Records in a Table","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:02:20","	236","	100%","	189","	47","	0","	"
"	AC Step 1.1.3: Modify Records in a Table","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:02:41","	202","	100%","	170","	32","	0","	"
"	AC Step 1.1.3: Modify Records in a Table","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:02:57","	156","	99.36%","	130","	25","	0","	"
"	AC Step 1.1.3: Modify Records in a Table","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Access 2019","	SIM5 Question","	00:02:28","	216","	100%","	162","	54","	0","	"
"	AC Step 1.1.3: Modify Records in a Table","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Access 2019","	SIM5 Question","	00:02:22","	12","	100%","	11","	1","	0","	"
"	AC Step 1.1.4: Add Records to a Table","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:05:14","	156","	100%","	67","	89","	0","	"
"	AC Step 1.1.4: Add Records to a Table","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:04:46","	143","	98.6%","	47","	94","	0","	"
"	AC Step 1.1.4: Add Records to a Table","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:04:42","	236","	100%","	127","	109","	0","	"
