Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID
B,B,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,2021 - Fall - session 2,1036
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 2,
B,B,GRD,College of Arts and Sciences - Business Economics/Sociology (Minor),Junior,2021 - Fall - session 2,1383
A,A,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1165
A,A,GRD,Business Administration - Accounting/Business (Minor)/English (Minor)/History (Minor),Senior,2021 - Fall - session 2,1022
C-,C-,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci/Economics (Minor),Junior,2021 - Fall - session 2,1748
C+,C+,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 2,1454
E,E,GRD,College of Arts and Sciences - Quantitative Eco&Data Analysis/Business (Minor)/Political Science (,Senior,2021 - Fall - session 2,1236
A,A,GRD,Business Administration - Accounting/Business (Minor)/Psychology (Minor),Senior,2021 - Fall - session 2,1529
C+,C+,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 2,1356
B,B,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 2,2033
C+,C+,GRD,Business Administration - Accounting/Business (Minor)/Internat Studies (Minor),Senior,2021 - Fall - session 2,1594
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,2067
C+,C+,GRD,Business Administration - Business Administration/Informatics,Junior,2021 - Fall - session 2,
B+,B+,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 2,1431
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1689
B+,B+,GRD,Business Administration - Business Administration/Economics (Minor),Senior,2021 - Fall - session 2,1745
C+,C+,GRD,Intended - Business Economics (intended),Junior,2021 - Fall - session 2,1018
B+,B+,GRD,Public Affairs - Political Science/Business (Minor),Junior,2021 - Fall - session 2,1134
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2021 - Fall - session 2,1859
B+,B+,GRD,Business Administration - Business Administration/Communication,Senior,2021 - Fall - session 2,1319
B-,B-,GRD,"College of Arts and Sciences - Business Economics/EmerPrep,HomeldSec&Cybsec(Min)",Senior,2021 - Fall - session 2,1503
A,A,GRD,Business Administration - Business Administration/History (Minor)/Political Science (Minor),Senior,2021 - Fall - session 2,1525
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,1028
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,1211
B-,B-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1641
B+,B+,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,2021 - Fall - session 2,1683
C-,C-,GRD,College of Arts and Sciences - Business Economics/Creative Writing (Minor),Junior,2021 - Fall - session 2,1896
C-,C-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,1912
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2021 - Fall - session 2,1041
,W,WDN,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1098
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,1593
B+,B+,GRD,"Emerg Prep, HomelandSec&Cybsec - Informatics/Business (Minor)",Senior,2021 - Fall - session 2,1966
B+,B+,GRD,Business Administration - Business Administration/Law & Philosophy (Minor),Junior,2021 - Fall - session 2,1241
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,
B-,B-,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2021 - Fall - session 2,1154
I,E,GRD,College of Arts and Sciences - Communication/Business (Minor),Junior,2021 - Fall - session 2,1262
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,2021 - Fall - session 2,1312
A,A,GRD,Business Administration - Accounting/Business (Minor)/Law & Philosophy (Minor),Senior,2021 - Fall - session 2,1872
A,A,GRD,Business Administration - Accounting/Business (Minor)/Criminal Justice (Minor),Senior,2021 - Fall - session 2,
B,B,GRD,Business Administration - Business Administration/Computer Science/Economics (Minor),Senior,2021 - Fall - session 2,2038
A,A,GRD,College of Arts and Sciences - Quantitative Eco&Data Analysis/Business (Minor)/Psychology (Minor),Junior,2021 - Fall - session 2,1079
B,B,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1116
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,1377
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2021 - Fall - session 2,
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,1621
D,D,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 2,
B+,B+,GRD,Business Administration - Business Administration/Informatics (Minor),Senior,2021 - Fall - session 2,
,W,WDN,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 2,
A,A,GRD,College of Arts and Sciences - Business Economics/Mathematics,Senior,2021 - Fall - session 2,
D,D,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 2,
C,C,GRD,Public Affairs - Political Science/Business (Minor),Junior,2021 - Fall - session 2,1351
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,
C,C,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 2,1168
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,2021 - Fall - session 2,1393
C-,C-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,
A-,A-,GRD,Business Administration - Accounting/Business Administration/Communication (Minor),Senior,2021 - Fall - session 2,1030
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2021 - Fall - session 2,1086
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 2,1846
A-,A-,GRD,College of Arts and Sciences - English/Business (Minor),Junior,2021 - Fall - session 2,1938
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1577
E,E,GRD,Business Administration - Accounting,Junior,2021 - Fall - session 2,1951
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,
B+,B+,GRD,College of Arts and Sciences - Business Economics/Film Studies (Minor),Junior,2021 - Fall - session 2,1243
B,B,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,
E,E,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1297
A,A,GRD,Business Administration - Business Administration/Art (Minor),Senior,2021 - Fall - session 2,1866
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2021 - Fall - session 2,1246
B,B,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1923
D,D,GRD,College of Arts and Sciences - Business Economics/Criminal Justice (Minor),Junior,2021 - Fall - session 2,1445
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,1895
B,B,GRD,Business Administration - Business Administration/Statistics (Minor),Junior,2021 - Fall - session 2,1111
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2021 - Fall - session 2,1845
C,C,GRD,Business Administration - Accounting/Business (Minor),Junior,2021 - Fall - session 2,1152
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor)/Sociology (Minor),Junior,2021 - Fall - session 2,1106
A,A,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,2021 - Fall - session 2,2063
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 2,1784
C,C,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1120
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1680
