Course Name,Activity Name,Instructor,Type,Recorded in Gradebook,Attempt Selected,Activity Level Average Score,Activity Level Average Time on Task,Submitted,Grade,Score,Time on Task,StudentID
"	BITM - 330 -6399","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Dvir, Nim","	Training [Skill-Based]","	Highest","	Recorded In Gradebook","	100%","	00:05:51","	","	","	","	",2098
"	BITM - 330 -6399","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Dvir, Nim","	Training [Skill-Based]","	Highest","	Recorded In Gradebook","	100%","	00:05:51","	","	","	","	",1001
"	BITM - 330 -6399","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Dvir, Nim","	Training [Skill-Based]","	Highest","	Recorded In Gradebook","	100%","	00:05:51","	","	","	","	",1018
"	BITM - 330 -6399","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Dvir, Nim","	Training [Skill-Based]","	Highest","	Recorded In Gradebook","	100%","	00:05:51","	","	","	","	",1022
"	BITM - 330 -6399","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Dvir, Nim","	Training [Skill-Based]","	Highest","	Recorded In Gradebook","	100%","	00:05:51","	","	","	","	",1030
"	BITM - 330 -6399","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Dvir, Nim","	Training [Skill-Based]","	Highest","	Recorded In Gradebook","	100%","	00:05:51","	","	","	","	",1028
"	BITM - 330 -6399","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Dvir, Nim","	Training [Skill-Based]","	Highest","	Recorded In Gradebook","	100%","	00:05:51","	","	","	","	",1035
"	BITM - 330 -6399","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Dvir, Nim","	Training [Skill-Based]","	Highest","	Recorded In Gradebook","	100%","	00:05:51","	","	","	","	",1036
"	BITM - 330 -6399","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Dvir, Nim","	Training [Skill-Based]","	Highest","	Recorded In Gradebook","	100%","	00:05:51","	","	","	","	",1041
"	BITM - 330 -6399","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Dvir, Nim","	Training [Skill-Based]","	Highest","	Recorded In Gradebook","	100%","	00:05:51","	","	","	","	",1044
"	BITM - 330 -6399","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Dvir, Nim","	Training [Skill-Based]","	Highest","	Recorded In Gradebook","	100%","	00:05:51","	","	","	","	",1046
"	BITM - 330 -6399","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Dvir, Nim","	Training [Skill-Based]","	Highest","	Recorded In Gradebook","	100%","	00:05:51","	","	","	","	",1052
