StudentID,AvgNumLogins,NumSubmissions,TotalCourseTime,TotalLogins,LastLogin,EnrollmentDate,Instructor,Session,TotalTimeSeconds,AvgSessionSeconds
2098.0,66,19,17:53:22,41,11/22/2021 7:32:11 PM,8/31/2021 3:17:52 PM,"Dvir, Nim",6399,64402,1571
1001.0,66,20,17:42:50,67,11/21/2021 7:24:33 PM,9/12/2021 5:51:31 PM,"Dvir, Nim",6399,63770,952
1002.0,45,14,23:37:06,37,4/25/2022 11:44:08 PM,1/27/2022 6:06:05 PM,"Liu, Mai; Dvir, Nim",Spring 2022,85026,2298
1003.0,45,20,21:57:43,47,5/6/2022 4:44:50 PM,2/2/2022 4:12:59 PM,"Liu, Mai; Dvir, Nim",Spring 2022,79063,1682
1004.0,69,15,08:37:25,35,4/28/2023 9:56:43 PM,1/27/2023 5:35:53 PM,"Dvir, Nim",Spring 2023,31045,887
1005.0,76,33,10:30:31,150,12/31/2021 6:31:33 PM,9/2/2021 8:20:58 PM,"Dvir, Nim",1002,37831,252
1007.0,76,27,19:23:04,82,11/21/2021 12:27:09 PM,9/7/2021 1:17:39 PM,"Dvir, Nim",1002,69784,851
1006.0,76,17,17:32:38,64,11/22/2021 5:52:12 PM,8/31/2021 2:30:56 PM,"Dvir, Nim",1002,63158,987
1008.0,47,17,17:18:57,53,12/2/2022 11:40:51 AM,8/30/2022 3:05:21 PM,"Dvir, Nim",Session 2,62337,1176
1009.0,76,20,17:32:20,77,11/21/2021 10:04:59 PM,8/24/2021 6:32:14 PM,"Dvir, Nim",1002,63140,820
1010.0,45,21,23:48:27,64,4/28/2022 3:17:17 PM,2/1/2022 6:16:02 PM,"Liu, Mai; Dvir, Nim",Spring 2022,85707,1339
1011.0,69,17,16:06:13,104,5/3/2023 2:35:01 AM,1/24/2023 6:04:31 PM,"Dvir, Nim",Spring 2023,57973,557
1012.0,45,26,00:34:01,61,4/25/2022 2:35:44 PM,1/27/2022 6:09:30 PM,"Liu, Mai; Dvir, Nim",Spring 2022,2041,33
1013.0,47,12,10:51:53,14,12/5/2022 5:05:22 PM,9/5/2022 5:24:56 PM,"Dvir, Nim",Session 2,39113,2794
1014.0,76,24,17:33:35,76,11/22/2021 10:43:14 PM,8/26/2021 1:23:38 PM,"Dvir, Nim",1002,63215,832
1016.0,47,15,08:09:25,54,12/2/2022 11:41:07 AM,9/1/2022 12:14:13 PM,"Dvir, Nim",Session 2,29365,544
1015.0,45,23,14:55:12,33,4/25/2022 11:47:56 PM,2/7/2022 2:46:44 PM,"Liu, Mai; Dvir, Nim",Spring 2022,53712,1628
1017.0,50,23,00:42:15,156,12/5/2022 10:48:04 PM,8/28/2022 2:34:47 PM,"Dvir, Nim",Session 1,2535,16
1018.0,66,18,00:05:58,64,11/29/2021 6:19:21 PM,9/2/2021 3:22:59 PM,"Dvir, Nim",6399,358,6
1019.0,45,13,02:14:40,97,4/27/2022 9:39:28 AM,1/27/2022 6:11:17 PM,"Liu, Mai; Dvir, Nim",Spring 2022,8080,83
1020.0,45,13,01:42:06,79,4/25/2022 8:30:03 PM,1/27/2022 6:07:22 PM,"Liu, Mai; Dvir, Nim",Spring 2022,6126,78
1022.0,66,20,03:23:47,73,11/23/2021 3:12:31 PM,8/31/2021 3:47:54 PM,"Dvir, Nim",6399,12227,167
1021.0,69,19,02:34:32,106,4/30/2023 4:14:51 PM,1/27/2023 4:34:39 AM,"Dvir, Nim",Spring 2023,9272,87
1023.0,45,20,12:30:29,37,4/25/2022 9:51:51 PM,2/7/2022 6:47:28 PM,"Liu, Mai; Dvir, Nim",Spring 2022,45029,1217
1024.0,45,17,03:13:59,31,4/25/2022 9:56:33 PM,1/27/2022 6:09:47 PM,"Liu, Mai; Dvir, Nim",Spring 2022,11639,375
1025.0,76,24,22:51:01,74,11/18/2021 5:23:38 PM,9/2/2021 9:53:45 AM,"Dvir, Nim",1002,82261,1112
1027.0,50,23,21:11:30,50,11/29/2022 2:25:57 PM,8/25/2022 1:27:08 PM,"Dvir, Nim",Session 1,76290,1526
1026.0,69,15,09:45:15,46,5/1/2023 11:52:22 PM,1/24/2023 6:05:18 PM,"Dvir, Nim",Spring 2023,35115,763
1028.0,66,19,00:44:19,60,11/22/2021 6:13:56 PM,9/11/2021 9:37:25 PM,"Dvir, Nim",6399,2659,44
1030.0,66,26,14:13:07,69,11/22/2021 4:59:59 PM,9/7/2021 11:44:03 PM,"Dvir, Nim",6399,51187,742
1029.0,47,20,08:37:40,57,12/1/2022 7:44:42 PM,8/30/2022 6:45:24 PM,"Dvir, Nim",Session 2,31060,545
1031.0,69,21,11:08:22,51,4/30/2023 1:18:25 AM,1/30/2023 10:39:34 PM,"Dvir, Nim",Spring 2023,40102,786
1032.0,69,14,05:12:24,34,4/28/2023 7:37:02 PM,1/30/2023 8:21:43 PM,"Dvir, Nim",Spring 2023,18744,551
1033.0,69,18,15:21:57,58,5/3/2023 4:04:01 PM,1/26/2023 6:04:00 PM,"Dvir, Nim",Spring 2023,55317,954
1034.0,50,25,11:11:59,94,11/28/2022 4:20:40 PM,9/1/2022 2:31:44 PM,"Dvir, Nim",Session 1,40319,429
1035.0,66,23,12:20:16,57,11/29/2021 11:42:05 PM,9/2/2021 12:30:45 PM,"Dvir, Nim",6399,44416,779
1036.0,66,37,21:31:13,79,11/22/2021 11:14:20 PM,8/31/2021 3:06:01 PM,"Dvir, Nim",6399,77473,981
1037.0,47,1,00:45:48,3,10/10/2022 11:39:03 PM,9/7/2022 3:02:54 AM,"Dvir, Nim",Session 2,2748,916
1038.0,69,19,08:03:04,100,5/3/2023 3:26:18 PM,1/24/2023 7:39:32 PM,"Dvir, Nim",Spring 2023,28984,290
1039.0,69,24,13:29:54,118,5/1/2023 11:00:41 PM,1/24/2023 6:28:28 PM,"Dvir, Nim",Spring 2023,48594,412
1041.0,66,22,23:50:06,126,11/21/2021 6:16:15 PM,9/12/2021 8:17:41 PM,"Dvir, Nim",6399,85806,681
1040.0,69,14,18:40:44,55,5/2/2023 12:40:57 AM,1/30/2023 11:33:53 AM,"Dvir, Nim",Spring 2023,67244,1223
1042.0,50,13,14:22:23,53,11/27/2022 2:02:52 PM,9/5/2022 8:58:52 PM,"Dvir, Nim",Session 1,51743,976
1043.0,69,15,05:45:21,97,5/3/2023 2:39:25 PM,1/26/2023 11:55:57 AM,"Dvir, Nim",Spring 2023,20721,214
1044.0,66,22,22:57:48,73,11/22/2021 4:19:17 PM,8/25/2021 4:00:31 PM,"Dvir, Nim",6399,82668,1132
1045.0,41,19,18:19:54,47,7/26/2023 7:34:52 PM,6/20/2023 6:43:04 PM,"Dvir, Nim",Summer 2023,65994,1404
1046.0,66,16,14:37:40,68,11/22/2021 4:59:08 PM,8/31/2021 3:05:23 PM,"Dvir, Nim",6399,52660,774
1047.0,50,17,16:48:16,68,11/29/2022 9:15:01 AM,8/30/2022 2:32:23 PM,"Dvir, Nim",Session 1,60496,890
1048.0,69,17,17:01:00,155,5/2/2023 6:11:53 PM,1/30/2023 1:59:10 PM,"Dvir, Nim",Spring 2023,61260,395
1049.0,69,15,12:57:03,41,4/30/2023 6:24:31 PM,1/23/2023 8:45:19 PM,"Dvir, Nim",Spring 2023,46623,1137
1050.0,47,26,15:20:39,42,11/27/2022 3:22:28 PM,9/4/2022 2:16:45 PM,"Dvir, Nim",Session 2,55239,1315
1051.0,76,25,03:27:41,67,12/2/2021 11:00:56 AM,8/31/2021 2:30:54 PM,"Dvir, Nim",1002,12461,186
1052.0,66,29,13:03:02,74,11/20/2021 2:47:30 AM,9/8/2021 1:18:19 PM,"Dvir, Nim",6399,46982,635
1053.0,76,28,20:03:38,85,11/23/2021 4:45:52 PM,8/31/2021 9:03:05 PM,"Dvir, Nim",1002,72218,850
1054.0,45,16,10:22:59,57,5/3/2022 6:12:03 PM,1/27/2022 6:07:58 PM,"Liu, Mai; Dvir, Nim",Spring 2022,37379,656
1055.0,50,13,01:25:01,41,12/2/2022 6:57:42 PM,8/30/2022 2:32:28 PM,"Dvir, Nim",Session 1,5101,124
1056.0,66,22,00:33:55,56,11/29/2021 6:27:00 PM,9/6/2021 12:54:44 PM,"Dvir, Nim",6399,2035,36
1057.0,69,17,15:56:01,78,5/1/2023 9:30:33 PM,1/24/2023 6:04:37 PM,"Dvir, Nim",Spring 2023,57361,735
1058.0,76,23,17:47:48,123,11/26/2021 8:46:07 PM,9/12/2021 6:07:05 PM,"Dvir, Nim",1002,64068,521
1059.0,76,16,20:42:45,55,11/23/2021 12:09:24 AM,8/31/2021 2:39:40 PM,"Dvir, Nim",1002,74565,1356
1060.0,50,17,15:31:18,81,12/2/2022 7:05:55 AM,9/2/2022 6:16:16 PM,"Dvir, Nim",Session 1,55878,690
1061.0,45,17,09:06:35,59,4/24/2022 1:01:13 PM,2/7/2022 8:59:59 PM,"Liu, Mai; Dvir, Nim",Spring 2022,32795,556
1062.0,45,22,07:44:52,46,4/17/2022 9:39:51 PM,1/27/2022 6:28:43 PM,"Liu, Mai; Dvir, Nim",Spring 2022,27892,606
,45,20,00:18:39,65,4/20/2022 5:34:13 PM,1/27/2022 6:52:41 PM,"Liu, Mai; Dvir, Nim",Spring 2022,1119,17
1064.0,45,21,09:25:36,74,4/14/2022 4:39:01 PM,1/29/2022 7:52:20 PM,"Liu, Mai; Dvir, Nim",Spring 2022,33936,459
1065.0,47,24,19:59:09,112,12/9/2022 4:31:04 AM,8/30/2022 3:30:57 PM,"Dvir, Nim",Session 2,71949,642
1066.0,50,16,04:54:39,45,12/2/2022 5:34:55 PM,9/5/2022 1:39:12 PM,"Dvir, Nim",Session 1,17679,393
1067.0,47,14,01:16:59,35,12/2/2022 11:46:32 AM,8/28/2022 10:01:58 PM,"Dvir, Nim",Session 2,4619,132
1068.0,50,19,12:40:18,34,12/1/2022 12:51:30 PM,9/5/2022 12:51:49 PM,"Dvir, Nim",Session 1,45618,1342
1069.0,50,21,09:15:28,38,12/2/2022 9:36:09 AM,8/30/2022 4:58:12 PM,"Dvir, Nim",Session 1,33328,877
1070.0,45,15,01:25:53,45,4/25/2022 5:39:16 PM,1/31/2022 10:19:22 PM,"Liu, Mai; Dvir, Nim",Spring 2022,5153,115
1071.0,66,11,23:00:25,56,11/22/2021 9:54:58 PM,9/5/2021 10:15:36 PM,"Dvir, Nim",6399,82825,1479
1072.0,76,26,03:21:08,55,11/22/2021 11:38:11 PM,9/5/2021 12:09:00 PM,"Dvir, Nim",1002,12068,219
1073.0,41,11,06:13:15,24,7/29/2023 6:56:36 PM,6/21/2023 7:23:09 PM,"Dvir, Nim",Summer 2023,22395,933
1074.0,66,24,22:15:37,40,11/22/2021 10:44:33 PM,8/31/2021 3:16:56 PM,"Dvir, Nim",6399,80137,2003
1075.0,76,25,09:23:56,81,11/30/2021 2:05:39 PM,8/31/2021 11:19:39 PM,"Dvir, Nim",1002,33836,418
1076.0,69,16,05:37:46,51,4/29/2023 12:31:51 AM,1/23/2023 1:59:24 PM,"Dvir, Nim",Spring 2023,20266,397
1077.0,45,12,16:30:52,48,4/19/2022 5:02:29 PM,2/8/2022 6:23:15 PM,"Liu, Mai; Dvir, Nim",Spring 2022,59452,1239
1078.0,45,15,12:34:15,45,4/24/2022 12:32:37 AM,1/28/2022 12:26:52 PM,"Liu, Mai; Dvir, Nim",Spring 2022,45255,1006
1079.0,66,25,10:57:25,81,11/30/2021 2:20:37 PM,8/30/2021 2:38:23 PM,"Dvir, Nim",6399,39445,487
1080.0,50,15,04:42:13,65,12/3/2022 8:23:45 PM,9/4/2022 12:29:38 PM,"Dvir, Nim",Session 1,16933,261
1081.0,45,17,11:08:24,32,4/25/2022 7:02:22 PM,1/31/2022 8:53:48 PM,"Liu, Mai; Dvir, Nim",Spring 2022,40104,1253
1082.0,69,12,04:27:14,36,5/1/2023 9:09:12 PM,1/23/2023 11:10:18 PM,"Dvir, Nim",Spring 2023,16034,445
1083.0,69,15,12:28:28,61,4/26/2023 2:33:59 PM,1/26/2023 5:55:55 PM,"Dvir, Nim",Spring 2023,44908,736
1084.0,50,20,07:40:08,57,12/2/2022 2:24:02 PM,9/1/2022 1:36:40 PM,"Dvir, Nim",Session 1,27608,484
1085.0,47,16,21:55:56,45,12/2/2022 7:54:07 PM,8/30/2022 3:04:33 PM,"Dvir, Nim",Session 2,78956,1755
1086.0,66,18,02:29:20,43,11/22/2021 4:11:30 PM,9/7/2021 3:26:17 PM,"Dvir, Nim",6399,8960,208
1087.0,50,15,08:54:11,29,11/30/2022 12:21:16 PM,8/30/2022 2:32:23 PM,"Dvir, Nim",Session 1,32051,1105
1089.0,76,45,02:02:51,126,11/19/2021 5:51:14 PM,8/24/2021 1:27:46 PM,"Dvir, Nim",1002,7371,58
1088.0,69,16,14:53:30,150,5/3/2023 12:31:57 PM,1/24/2023 6:04:33 PM,"Dvir, Nim",Spring 2023,53610,357
1090.0,76,23,21:20:21,67,12/2/2021 12:08:19 AM,8/31/2021 2:30:25 PM,"Dvir, Nim",1002,76821,1147
1091.0,69,18,22:48:39,48,5/2/2023 4:50:05 PM,1/28/2023 6:21:57 PM,"Dvir, Nim",Spring 2023,82119,1711
1092.0,50,15,09:02:12,71,12/2/2022 10:39:42 AM,8/30/2022 2:34:38 PM,"Dvir, Nim",Session 1,32532,458
1093.0,45,15,07:45:40,31,4/25/2022 3:02:39 PM,1/27/2022 6:07:02 PM,"Liu, Mai; Dvir, Nim",Spring 2022,27940,901
1094.0,69,15,04:37:14,56,5/1/2023 11:21:09 AM,1/24/2023 6:04:34 PM,"Dvir, Nim",Spring 2023,16634,297
1095.0,69,23,10:30:36,90,5/2/2023 7:24:59 PM,1/28/2023 8:16:00 PM,"Dvir, Nim",Spring 2023,37836,420
1096.0,69,20,06:06:01,68,5/1/2023 10:31:12 PM,1/30/2023 9:24:27 PM,"Dvir, Nim",Spring 2023,21961,323
1097.0,76,5,02:03:30,10,10/25/2021 10:51:20 PM,9/20/2021 10:36:10 PM,"Dvir, Nim",1002,7410,741
1098.0,66,5,09:13:42,18,10/28/2021 4:59:57 AM,9/7/2021 9:42:27 PM,"Dvir, Nim",6399,33222,1846
1098.0,45,13,05:30:19,26,4/27/2022 11:44:43 PM,2/7/2022 9:11:10 PM,"Liu, Mai; Dvir, Nim",Spring 2022,19819,762
1099.0,76,28,04:15:50,124,11/29/2021 6:03:04 PM,9/1/2021 10:19:32 PM,"Dvir, Nim",1002,15350,124
1100.0,76,38,14:15:34,155,12/7/2021 12:17:55 PM,9/3/2021 4:11:50 PM,"Dvir, Nim",1002,51334,331
1102.0,50,20,19:50:19,61,12/1/2022 2:01:20 PM,9/3/2022 6:24:03 PM,"Dvir, Nim",Session 1,71419,1171
