Class,Class Title,Enrolled,Days & Times,Room,Class Dates
BITM 330-0001,Imp. Bus. Perf. with IT (Lecture),161,TuTh 1:30PM - 2:50PM,Lecture Center 23,"Aug 23, 2021-"
-1002,,,,,6-Dec-21
BITM 330-0002,Imp. Bus. Perf. with IT (Lecture),158,TuTh 3:00PM - 4:20PM,Lecture Center 23,"Aug 23, 2021-"
-6399,,,,,6-Dec-21
BITM 330-0001,Imp. Bus. Perf. with IT (Lecture),237,TuTh 6:00PM - 7:20PM,Lecture Center 18,"Jan 24, 2022-"
-3438,,,,,4-May-22
BITM 330-0003,Imp. Bus. Perf. with IT (Lecture),14,MoTuWeTh 9:00AM - 11:40AM,Online,"Jun 20, 2023-"
-1969,,,,,28-Jul-23
BITM 330-0001,Imp. Bus. Perf. with IT (Lecture),217,TuTh 6:00PM - 7:20PM,Lecture Center 18,"Jan 18, 2023-"
-3249,,,,,2-May-23
BITM 522-0002,Managing Information Tech (Lecture),16,We 6:00PM - 8:50PM,Massry Ctr for Business B006,"Jan 18, 2023-"
-2351,,,,,2-May-23
BITM 330-0001,Imp. Bus. Perf. with IT (Lecture),237,TuTh 6:00PM - 7:20PM,Lecture Center 18,"Jan 24, 2022-"
-3438,,,,,4-May-22
BITM 330-0001,Imp. Bus. Perf. with IT (Lecture),161,TuTh 1:30PM - 2:50PM,Lecture Center 23,"Aug 23, 2021-"
-1002,,,,,6-Dec-21
BITM 330-0002,Imp. Bus. Perf. with IT (Lecture),158,TuTh 3:00PM - 4:20PM,Lecture Center 23,"Aug 23, 2021-"
-6399,,,,,6-Dec-21
