StudentID,AvgSecsOnCapstoneTask,AvgCapstoneScore,AvgNumAttempts
1001.0,14.67,0.92,1.33
1002.0,16.75,0.85,1.0
1003.0,15.0,0.47,1.0
1004.0,18.12,0.88,1.0
1005.0,14.0,0.94,1.0
1006.0,15.25,0.88,1.0
1007.0,15.0,0.97,1.5
1008.0,17.12,0.97,1.25
1009.0,14.5,0.96,1.12
1010.0,16.5,0.92,1.67
1011.0,18.0,0.89,1.25
1012.0,27.12,0.94,2.12
1013.0,16.67,0.75,1.0
1014.0,21.75,0.91,1.25
1015.0,15.5,0.93,1.75
1016.0,35.5,0.98,1.12
1017.0,18.88,0.88,2.0
1018.0,13.8,0.78,1.2
1019.0,16.43,0.79,1.14
1020.0,23.71,0.81,1.0
1021.0,18.12,0.9,1.38
1022.0,25.78,0.92,1.11
1023.0,16.38,0.98,1.62
1024.0,20.38,0.8,1.0
1025.0,16.71,0.93,1.71
1026.0,17.75,0.8,1.0
1027.0,18.12,0.98,1.88
1028.0,13.88,0.84,1.12
1029.0,18.5,0.92,1.12
1030.0,14.43,0.88,1.14
1031.0,18.62,0.87,1.12
1032.0,19.25,0.83,1.0
1033.0,18.38,0.8,1.12
1034.0,16.12,1.0,2.25
1035.0,14.0,0.78,1.38
1036.0,13.0,0.91,1.6
1037.0,17.0,0.96,1.0
1038.0,18.12,0.95,1.5
1039.0,24.25,0.95,2.12
1040.0,20.14,0.83,1.0
1041.0,18.29,0.94,1.14
1042.0,15.6,0.56,1.0
1043.0,18.38,0.87,1.12
1044.0,13.75,0.98,1.38
1045.0,19.83,0.67,2.17
1046.0,14.5,0.81,1.0
1047.0,17.88,0.9,1.25
1048.0,18.0,0.74,1.12
1049.0,17.62,0.77,1.0
1050.0,17.25,0.92,1.25
1051.0,11.89,0.85,1.11
1052.0,13.88,0.95,1.75
1053.0,13.88,0.97,1.25
1054.0,17.25,0.92,1.0
1055.0,16.83,0.87,1.0
1056.0,13.38,0.97,1.12
1057.0,18.62,0.94,1.25
1058.0,14.25,0.94,1.0
1059.0,13.86,0.82,1.0
1060.0,18.0,0.92,1.12
1061.0,16.5,0.93,1.0
1062.0,15.71,0.92,1.86
1064.0,17.12,0.98,1.5
1065.0,17.75,0.93,1.75
1066.0,19.71,0.86,1.29
1067.0,17.0,0.82,1.29
1068.0,18.12,0.92,1.25
1069.0,27.25,0.98,1.5
1070.0,26.88,0.93,1.0
1071.0,27.0,0.79,1.0
1072.0,13.25,0.93,1.5
1073.0,17.2,0.94,1.0
1074.0,13.33,0.94,1.33
1075.0,16.88,0.97,1.25
1076.0,18.25,0.88,1.12
1077.0,16.0,0.82,1.25
1078.0,16.62,0.98,1.0
1079.0,13.38,0.92,1.25
1080.0,26.62,1.0,1.0
1081.0,16.88,0.88,1.0
1082.0,17.38,0.62,1.0
1083.0,18.12,0.91,1.0
1084.0,17.29,1.0,1.86
1085.0,32.88,0.95,1.0
1086.0,13.62,0.92,1.12
1087.0,92.75,0.85,1.0
1088.0,19.0,0.92,1.12
1089.0,13.7,0.95,1.7
1090.0,20.38,0.93,1.12
1091.0,94.25,0.9,1.38
1092.0,27.75,0.99,1.0
1093.0,15.88,0.92,1.0
1094.0,19.5,1.0,1.0
1095.0,20.17,0.98,2.0
1096.0,25.5,0.86,1.62
1097.0,12.0,0.72,1.0
1098.0,15.6,0.72,1.2
1099.0,13.71,0.85,1.14
1100.0,19.62,0.98,2.0
1101.0,15.5,0.98,1.0
1102.0,18.62,0.95,1.12
1103.0,18.86,0.86,1.0
1104.0,16.43,0.95,1.0
1105.0,18.25,0.91,1.25
1106.0,28.5,0.88,1.0
1107.0,16.75,0.64,1.12
1108.0,17.5,0.88,1.25
1109.0,15.0,0.79,2.0
1110.0,17.57,0.87,1.29
1111.0,16.12,0.75,1.25
1112.0,22.57,0.93,1.0
1113.0,16.12,0.92,1.12
1114.0,29.62,0.8,1.0
1115.0,13.5,0.92,1.0
1116.0,17.57,0.95,1.0
1117.0,19.25,0.86,1.25
1118.0,19.0,0.97,1.29
1119.0,22.62,0.97,1.25
1120.0,36.17,0.78,1.17
1121.0,13.5,0.89,1.25
1122.0,13.5,0.94,1.0
1123.0,13.5,0.98,1.0
1124.0,20.88,0.9,2.25
1125.0,22.0,0.73,1.62
1127.0,14.5,0.97,1.5
1128.0,17.29,0.89,1.14
1129.0,16.71,0.69,1.0
1130.0,15.8,0.56,1.0
1131.0,23.12,0.82,1.0
1132.0,15.33,0.95,1.0
1133.0,16.71,0.8,1.0
1134.0,13.25,0.98,1.25
1135.0,19.0,0.84,1.0
1136.0,17.0,0.87,1.25
1137.0,17.25,0.91,1.12
1138.0,16.5,0.94,1.0
1139.0,19.57,0.84,1.0
1140.0,22.25,0.94,1.38
1141.0,18.75,0.95,1.12
1142.0,15.25,0.94,1.0
1143.0,18.62,0.98,1.88
1144.0,19.25,0.79,1.38
1145.0,23.17,0.94,1.0
1146.0,24.12,0.92,1.25
1147.0,104.14,0.96,2.0
1148.0,16.38,0.95,1.12
1149.0,3675.44,0.88,1.33
1150.0,16.0,0.68,1.38
1151.0,16.62,0.96,1.38
1152.0,12.75,0.86,1.12
1153.0,21.78,0.91,1.33
1154.0,13.14,0.68,1.0
1156.0,16.38,0.91,1.0
1157.0,17.5,0.95,1.33
1158.0,20.25,0.93,1.38
1159.0,17.0,0.94,1.0
1160.0,23.83,0.95,1.0
1161.0,19.67,0.87,2.0
1162.0,24.88,0.95,1.0
1163.0,15.0,0.96,1.0
1164.0,17.12,0.86,2.0
1165.0,13.5,0.95,1.62
1166.0,17.38,0.95,1.5
1167.0,17.83,0.83,1.17
1168.0,14.5,0.73,1.0
1169.0,16.0,0.95,1.0
1170.0,15.75,0.96,1.12
1171.0,20.57,0.95,1.0
1172.0,19.0,0.92,1.12
1173.0,16.62,0.92,1.0
1175.0,16.5,0.89,1.0
1176.0,16.62,0.93,1.12
1177.0,16.5,0.94,1.25
1178.0,15.62,0.98,1.75
1179.0,15.71,0.9,1.14
1180.0,17.25,0.77,1.0
1181.0,25.62,0.99,1.62
1182.0,17.38,0.99,2.0
1183.0,28.88,0.96,2.0
1184.0,14.75,0.8,1.0
1186.0,16.0,0.97,1.56
1187.0,19.88,0.89,2.12
1188.0,23.38,0.95,1.0
1189.0,25.5,0.94,1.0
1190.0,16.0,0.92,1.5
1191.0,17.75,0.96,1.75
1192.0,21.62,0.98,1.5
1193.0,19.38,0.85,1.0
1194.0,17.5,0.83,1.25
1195.0,16.38,0.87,1.0
1196.0,16.43,0.77,1.0
1197.0,19.88,0.83,1.25
1198.0,17.17,0.79,1.0
1199.0,18.88,0.82,1.0
1200.0,17.5,0.86,1.0
1201.0,16.0,0.75,1.5
1202.0,16.25,0.83,1.25
1203.0,17.57,0.93,1.43
1204.0,16.0,0.9,1.0
1205.0,18.0,0.77,1.5
1206.0,18.5,0.87,1.12
1207.0,14.3,0.97,1.7
1208.0,16.62,0.92,1.0
1209.0,26.89,0.96,2.44
1210.0,17.75,0.93,1.38
1211.0,14.0,0.94,1.38
1212.0,26.71,0.79,1.0
1213.0,15.88,0.91,1.0
1214.0,26.5,0.96,1.0
1215.0,21.29,0.86,1.14
1217.0,19.2,0.78,1.2
1218.0,18.88,0.88,1.0
1219.0,15.12,0.73,1.5
1220.0,20.75,0.94,1.25
1221.0,13.5,0.94,1.12
1222.0,13.75,0.94,1.0
1223.0,21.0,0.97,1.67
1224.0,13.44,0.9,1.22
1225.0,18.38,0.91,1.75
1226.0,17.33,0.91,1.0
1227.0,13.67,0.91,1.0
1228.0,17.12,0.95,1.38
1229.0,21.6,0.89,1.4
1230.0,25.0,0.91,1.12
1231.0,20.0,0.79,1.0
1232.0,14.0,0.8,1.0
1233.0,18.0,0.96,1.38
1234.0,15.38,0.96,1.38
1235.0,13.5,0.83,1.0
1236.0,15.0,0.92,1.0
1237.0,16.5,0.9,1.0
1238.0,16.25,0.89,1.25
1239.0,14.0,0.82,1.0
1240.0,16.88,0.86,1.12
1241.0,13.75,0.85,1.0
1242.0,19.0,0.93,1.57
1243.0,16.57,0.69,1.43
1244.0,16.29,0.88,1.71
1245.0,19.0,0.8,1.0
1246.0,13.12,0.97,1.62
1247.0,25.38,0.98,1.0
1248.0,17.29,0.8,1.0
1251.0,20.88,0.86,1.12
1252.0,22.88,0.7,1.12
1253.0,24.0,0.75,1.78
1254.0,16.0,0.75,1.14
1255.0,16.0,0.71,1.25
1256.0,17.88,0.92,1.12
1257.0,16.0,0.88,1.0
1258.0,20.89,0.89,1.0
1259.0,19.4,0.82,1.0
1260.0,16.12,0.89,1.38
1261.0,2618.0,0.82,1.0
1263.0,19.38,0.92,1.12
1264.0,12.25,0.56,1.0
1265.0,18.86,0.91,1.29
1266.0,17.53,0.89,1.27
1267.0,16.25,0.93,1.88
1269.0,14.25,0.85,1.12
1271.0,15.38,0.95,1.0
1272.0,16.0,0.17,1.0
1273.0,16.62,0.92,1.0
1274.0,21.17,1.0,2.0
1275.0,16.0,0.64,1.0
1276.0,16.5,0.94,1.0
1277.0,18.43,0.92,1.29
1278.0,18.4,0.9,1.2
1279.0,16.0,0.76,1.25
1280.0,18.12,0.9,1.0
1281.0,16.25,0.9,1.25
1282.0,14.25,0.94,1.38
1283.0,17.75,0.91,1.0
1284.0,18.62,0.84,1.38
1285.0,23.75,0.99,1.0
1286.0,190.57,0.83,1.43
1287.0,17.5,0.91,2.38
1288.0,18.0,0.83,1.0
1289.0,16.5,0.82,1.0
1290.0,14.6,0.82,1.0
1292.0,17.38,0.92,1.75
1293.0,16.8,0.84,1.4
1294.0,17.38,0.8,1.12
1295.0,15.62,0.7,1.0
1296.0,13.25,0.87,1.0
1297.0,12.75,0.53,1.0
1298.0,16.71,0.85,1.14
1299.0,15.71,0.91,1.0
1300.0,17.0,0.95,1.38
1301.0,18.25,0.81,1.25
1302.0,18.88,0.88,1.12
1303.0,17.0,0.87,1.0
1304.0,15.43,0.83,1.0
1305.0,14.38,0.91,1.12
1306.0,18.0,0.9,1.2
1307.0,13.44,0.92,1.56
1308.0,17.0,0.9,1.75
1309.0,16.25,0.96,1.25
1310.0,19.5,0.97,1.0
1311.0,17.0,1.0,1.88
1312.0,13.62,0.9,1.12
1313.0,43.12,0.91,1.5
1314.0,13.38,1.0,1.5
1315.0,17.38,0.95,1.38
1316.0,17.38,0.99,1.62
1317.0,15.33,0.58,1.67
1318.0,18.38,0.92,1.0
1319.0,13.25,0.82,1.38
1320.0,19.88,0.98,1.62
1321.0,27.33,0.74,1.0
1322.0,24.14,1.0,1.29
1324.0,18.38,0.81,1.0
1325.0,15.88,0.95,1.5
1326.0,16.25,0.93,1.5
1327.0,15.21,0.79,1.07
1328.0,14.17,0.83,1.0
1329.0,15.62,0.94,1.75
1330.0,15.12,0.77,1.25
1331.0,17.5,0.88,1.0
1332.0,17.5,0.83,1.25
1333.0,23.5,0.92,1.0
1334.0,15.0,0.86,1.25
1336.0,26.12,0.97,1.0
1337.0,17.5,0.98,1.88
1338.0,18.67,0.79,1.0
1339.0,23.0,0.98,1.62
1340.0,15.5,0.61,1.0
1341.0,11.17,0.44,1.0
1342.0,15.5,0.96,2.38
1343.0,17.75,0.91,1.25
1344.0,14.0,0.89,1.25
1345.0,13.25,0.88,1.0
1346.0,16.38,0.9,1.0
1347.0,19.12,0.94,1.38
1348.0,16.5,0.91,1.1
1349.0,18.86,0.87,1.0
1350.0,19.25,0.9,1.0
1351.0,17.0,0.75,1.0
1352.0,14.44,0.88,1.33
1353.0,16.75,0.92,1.12
1354.0,16.71,0.85,1.0
1356.0,14.12,0.83,1.0
1357.0,18.0,0.92,1.5
1359.0,29.0,0.96,1.38
1360.0,17.0,0.85,1.0
1361.0,10.0,0.91,1.0
1362.0,14.57,0.63,1.0
1363.0,17.25,0.96,1.75
