StudentID,AvgSecsOnCapstoneTask,AvgCapstoneScore,AvgNumAttemptsCapstone,Session
1002.0,16.75,0.85,1.0,Spring 2022
1003.0,15.0,0.47,1.0,Spring 2022
1010.0,16.5,0.92,1.67,Spring 2022
1012.0,27.12,0.94,2.12,Spring 2022
1015.0,15.5,0.93,1.75,Spring 2022
1019.0,16.43,0.79,1.14,Spring 2022
1020.0,23.71,0.81,1.0,Spring 2022
1023.0,16.38,0.98,1.62,Spring 2022
1024.0,20.38,0.8,1.0,Spring 2022
1054.0,17.25,0.92,1.0,Spring 2022
1061.0,16.5,0.93,1.0,Spring 2022
1062.0,15.71,0.92,1.86,Spring 2022
1064.0,17.12,0.98,1.5,Spring 2022
1070.0,26.88,0.93,1.0,Spring 2022
1077.0,16.0,0.82,1.25,Spring 2022
1078.0,16.62,0.98,1.0,Spring 2022
1081.0,16.88,0.88,1.0,Spring 2022
1093.0,15.88,0.92,1.0,Spring 2022
1098.0,15.6,0.72,1.2,Spring 2022
1107.0,16.75,0.64,1.12,Spring 2022
1108.0,17.5,0.88,1.25,Spring 2022
1109.0,15.0,0.79,2.0,Spring 2022
1113.0,16.12,0.92,1.12,Spring 2022
1124.0,20.88,0.9,2.25,Spring 2022
1129.0,16.71,0.69,1.0,Spring 2022
1130.0,15.8,0.56,1.0,Spring 2022
1131.0,23.12,0.82,1.0,Spring 2022
1132.0,15.33,0.95,1.0,Spring 2022
1137.0,17.25,0.91,1.12,Spring 2022
1142.0,15.25,0.94,1.0,Spring 2022
1148.0,16.38,0.95,1.12,Spring 2022
1151.0,16.62,0.96,1.38,Spring 2022
1153.0,21.78,0.91,1.33,Spring 2022
1156.0,16.38,0.91,1.0,Spring 2022
1159.0,17.0,0.94,1.0,Spring 2022
1160.0,23.83,0.95,1.0,Spring 2022
1169.0,16.0,0.95,1.0,Spring 2022
1170.0,15.75,0.96,1.12,Spring 2022
1173.0,16.62,0.92,1.0,Spring 2022
1177.0,16.5,0.94,1.25,Spring 2022
1178.0,15.62,0.98,1.75,Spring 2022
1179.0,15.71,0.9,1.14,Spring 2022
1186.0,16.0,0.97,1.56,Spring 2022
1194.0,17.5,0.83,1.25,Spring 2022
1201.0,16.0,0.75,1.5,Spring 2022
1202.0,16.25,0.83,1.25,Spring 2022
1203.0,17.57,0.93,1.43,Spring 2022
1204.0,16.0,0.9,1.0,Spring 2022
1206.0,18.5,0.87,1.12,Spring 2022
1213.0,15.88,0.91,1.0,Spring 2022
1230.0,25.0,0.91,1.12,Spring 2022
1237.0,16.5,0.9,1.0,Spring 2022
1238.0,16.25,0.89,1.25,Spring 2022
1240.0,16.88,0.86,1.12,Spring 2022
1242.0,19.0,0.93,1.57,Spring 2022
1248.0,17.29,0.8,1.0,Spring 2022
1254.0,16.0,0.75,1.14,Spring 2022
1257.0,16.0,0.88,1.0,Spring 2022
