StudentID,AvgNumLogins,NumSubmissions,TotalCourseTime,TotalLogins,LastLogin,EnrollmentDate,Instructor,Session,TotalTimeSeconds,AvgSessionSeconds
1002.0,45,14,23:37:06,37,4/25/2022 11:44:08 PM,1/27/2022 6:06:05 PM,"Liu, Mai; Dvir, Nim",Spring 2022,85026,2298
1003.0,45,20,21:57:43,47,5/6/2022 4:44:50 PM,2/2/2022 4:12:59 PM,"Liu, Mai; Dvir, Nim",Spring 2022,79063,1682
1010.0,45,21,23:48:27,64,4/28/2022 3:17:17 PM,2/1/2022 6:16:02 PM,"Liu, Mai; Dvir, Nim",Spring 2022,85707,1339
1012.0,45,26,00:34:01,61,4/25/2022 2:35:44 PM,1/27/2022 6:09:30 PM,"Liu, Mai; Dvir, Nim",Spring 2022,2041,33
1015.0,45,23,14:55:12,33,4/25/2022 11:47:56 PM,2/7/2022 2:46:44 PM,"Liu, Mai; Dvir, Nim",Spring 2022,53712,1628
1019.0,45,13,02:14:40,97,4/27/2022 9:39:28 AM,1/27/2022 6:11:17 PM,"Liu, Mai; Dvir, Nim",Spring 2022,8080,83
1020.0,45,13,01:42:06,79,4/25/2022 8:30:03 PM,1/27/2022 6:07:22 PM,"Liu, Mai; Dvir, Nim",Spring 2022,6126,78
1023.0,45,20,12:30:29,37,4/25/2022 9:51:51 PM,2/7/2022 6:47:28 PM,"Liu, Mai; Dvir, Nim",Spring 2022,45029,1217
1024.0,45,17,03:13:59,31,4/25/2022 9:56:33 PM,1/27/2022 6:09:47 PM,"Liu, Mai; Dvir, Nim",Spring 2022,11639,375
1054.0,45,16,10:22:59,57,5/3/2022 6:12:03 PM,1/27/2022 6:07:58 PM,"Liu, Mai; Dvir, Nim",Spring 2022,37379,656
1061.0,45,17,09:06:35,59,4/24/2022 1:01:13 PM,2/7/2022 8:59:59 PM,"Liu, Mai; Dvir, Nim",Spring 2022,32795,556
1062.0,45,22,07:44:52,46,4/17/2022 9:39:51 PM,1/27/2022 6:28:43 PM,"Liu, Mai; Dvir, Nim",Spring 2022,27892,606
,45,20,00:18:39,65,4/20/2022 5:34:13 PM,1/27/2022 6:52:41 PM,"Liu, Mai; Dvir, Nim",Spring 2022,1119,17
1064.0,45,21,09:25:36,74,4/14/2022 4:39:01 PM,1/29/2022 7:52:20 PM,"Liu, Mai; Dvir, Nim",Spring 2022,33936,459
1070.0,45,15,01:25:53,45,4/25/2022 5:39:16 PM,1/31/2022 10:19:22 PM,"Liu, Mai; Dvir, Nim",Spring 2022,5153,115
1077.0,45,12,16:30:52,48,4/19/2022 5:02:29 PM,2/8/2022 6:23:15 PM,"Liu, Mai; Dvir, Nim",Spring 2022,59452,1239
1078.0,45,15,12:34:15,45,4/24/2022 12:32:37 AM,1/28/2022 12:26:52 PM,"Liu, Mai; Dvir, Nim",Spring 2022,45255,1006
1081.0,45,17,11:08:24,32,4/25/2022 7:02:22 PM,1/31/2022 8:53:48 PM,"Liu, Mai; Dvir, Nim",Spring 2022,40104,1253
1093.0,45,15,07:45:40,31,4/25/2022 3:02:39 PM,1/27/2022 6:07:02 PM,"Liu, Mai; Dvir, Nim",Spring 2022,27940,901
1098.0,45,13,05:30:19,26,4/27/2022 11:44:43 PM,2/7/2022 9:11:10 PM,"Liu, Mai; Dvir, Nim",Spring 2022,19819,762
1107.0,45,16,02:37:44,53,4/21/2022 1:20:45 PM,1/27/2022 6:41:31 PM,"Liu, Mai; Dvir, Nim",Spring 2022,9464,179
1108.0,45,11,04:04:57,40,4/25/2022 8:05:46 PM,1/27/2022 6:09:59 PM,"Liu, Mai; Dvir, Nim",Spring 2022,14697,367
1109.0,45,11,16:09:41,30,4/27/2022 7:27:25 PM,1/27/2022 6:07:14 PM,"Liu, Mai; Dvir, Nim",Spring 2022,58181,1939
1110.0,45,1,00:31:01,6,2/8/2022 4:46:05 PM,2/8/2022 3:39:01 PM,"Liu, Mai; Dvir, Nim",Spring 2022,1861,310
1113.0,45,16,17:59:04,46,4/24/2022 2:20:21 PM,1/27/2022 6:10:11 PM,"Liu, Mai; Dvir, Nim",Spring 2022,64744,1407
1124.0,45,26,22:05:55,75,4/24/2022 7:32:49 PM,1/27/2022 6:06:07 PM,"Liu, Mai; Dvir, Nim",Spring 2022,79555,1061
,45,14,00:05:44,36,5/2/2022 1:02:26 PM,2/7/2022 7:39:14 PM,"Liu, Mai; Dvir, Nim",Spring 2022,344,10
1129.0,45,12,09:03:37,33,5/2/2022 1:22:49 PM,2/1/2022 8:41:31 PM,"Liu, Mai; Dvir, Nim",Spring 2022,32617,988
1130.0,45,13,08:52:09,89,5/3/2022 6:42:55 PM,1/27/2022 4:31:07 PM,"Liu, Mai; Dvir, Nim",Spring 2022,31929,359
1131.0,45,15,22:14:15,32,4/25/2022 11:12:33 AM,1/27/2022 6:10:10 PM,"Liu, Mai; Dvir, Nim",Spring 2022,80055,2502
1132.0,45,16,09:21:34,61,4/27/2022 4:18:47 PM,1/27/2022 6:06:13 PM,"Liu, Mai; Dvir, Nim",Spring 2022,33694,552
1137.0,45,16,13:04:52,29,4/29/2022 9:24:01 PM,2/2/2022 9:03:52 PM,"Liu, Mai; Dvir, Nim",Spring 2022,47092,1624
1142.0,45,15,21:35:11,24,4/22/2022 11:44:55 AM,1/27/2022 6:05:42 PM,"Liu, Mai; Dvir, Nim",Spring 2022,77711,3238
1148.0,45,16,17:22:29,49,4/20/2022 9:48:50 PM,2/1/2022 2:46:45 PM,"Liu, Mai; Dvir, Nim",Spring 2022,62549,1277
1151.0,45,18,21:31:46,70,4/25/2022 4:47:07 PM,2/6/2022 8:18:52 PM,"Liu, Mai; Dvir, Nim",Spring 2022,77506,1107
1153.0,45,18,16:57:57,36,4/25/2022 7:30:56 PM,1/28/2022 3:31:02 PM,"Liu, Mai; Dvir, Nim",Spring 2022,61077,1697
1156.0,45,15,23:50:51,28,5/2/2022 5:32:26 AM,2/7/2022 10:32:47 PM,"Liu, Mai; Dvir, Nim",Spring 2022,85851,3066
1159.0,45,14,15:24:39,36,4/25/2022 9:03:52 PM,2/7/2022 1:38:29 PM,"Liu, Mai; Dvir, Nim",Spring 2022,55479,1541
1160.0,45,15,12:57:30,35,4/25/2022 9:18:12 PM,1/27/2022 6:05:04 PM,"Liu, Mai; Dvir, Nim",Spring 2022,46650,1333
1169.0,45,8,08:27:23,21,4/22/2022 9:12:49 PM,2/7/2022 9:26:05 PM,"Liu, Mai; Dvir, Nim",Spring 2022,30443,1450
1170.0,45,16,17:20:41,56,4/25/2022 9:07:57 PM,1/27/2022 6:05:44 PM,"Liu, Mai; Dvir, Nim",Spring 2022,62441,1115
1173.0,45,14,20:27:08,24,4/25/2022 3:02:18 PM,1/27/2022 6:05:26 PM,"Liu, Mai; Dvir, Nim",Spring 2022,73628,3068
1174.0,45,1,13:42:57,25,4/24/2022 8:55:01 PM,2/8/2022 6:45:18 PM,"Liu, Mai; Dvir, Nim",Spring 2022,49377,1975
1177.0,45,17,03:23:05,34,4/25/2022 5:36:15 PM,2/5/2022 12:57:48 PM,"Liu, Mai; Dvir, Nim",Spring 2022,12185,358
1178.0,45,21,11:57:57,57,4/25/2022 7:10:15 PM,1/27/2022 6:05:50 PM,"Liu, Mai; Dvir, Nim",Spring 2022,43077,756
1179.0,45,15,23:36:23,32,4/25/2022 6:48:39 PM,2/6/2022 1:16:47 PM,"Liu, Mai; Dvir, Nim",Spring 2022,84983,2656
1184.0,45,12,09:12:05,27,4/25/2022 9:42:36 PM,1/30/2022 5:22:50 PM,"Liu, Mai; Dvir, Nim",Spring 2022,33125,1227
,45,21,07:15:33,97,4/24/2022 11:14:08 PM,1/27/2022 6:10:02 PM,"Liu, Mai; Dvir, Nim",Spring 2022,26133,269
1186.0,45,23,22:28:21,44,4/21/2022 6:41:54 PM,2/3/2022 6:34:04 PM,"Liu, Mai; Dvir, Nim",Spring 2022,80901,1839
1194.0,45,17,17:13:03,68,4/25/2022 8:34:38 PM,1/29/2022 3:50:14 PM,"Liu, Mai; Dvir, Nim",Spring 2022,61983,912
1201.0,45,12,13:31:32,24,4/27/2022 5:27:05 PM,1/27/2022 6:09:29 PM,"Liu, Mai; Dvir, Nim",Spring 2022,48692,2029
1202.0,45,18,00:23:04,67,4/26/2022 1:35:32 PM,1/30/2022 8:16:52 PM,"Liu, Mai; Dvir, Nim",Spring 2022,1384,21
1203.0,45,19,17:47:53,36,4/25/2022 6:20:51 PM,1/27/2022 6:07:04 PM,"Liu, Mai; Dvir, Nim",Spring 2022,64073,1780
1204.0,45,15,21:41:03,33,4/25/2022 2:19:05 PM,1/27/2022 6:05:47 PM,"Liu, Mai; Dvir, Nim",Spring 2022,78063,2366
1206.0,45,16,06:55:40,28,4/25/2022 5:50:43 PM,1/27/2022 6:07:06 PM,"Liu, Mai; Dvir, Nim",Spring 2022,24940,891
1213.0,45,15,13:20:15,67,5/5/2022 3:32:58 PM,1/27/2022 6:10:10 PM,"Liu, Mai; Dvir, Nim",Spring 2022,48015,717
1230.0,45,16,06:37:35,26,4/25/2022 10:45:37 PM,1/31/2022 2:11:44 PM,"Liu, Mai; Dvir, Nim",Spring 2022,23855,918
1237.0,45,11,18:10:22,46,4/26/2022 8:10:09 PM,1/27/2022 6:06:08 PM,"Liu, Mai; Dvir, Nim",Spring 2022,65422,1422
1238.0,45,17,18:06:32,33,4/25/2022 7:30:39 PM,1/27/2022 6:04:55 PM,"Liu, Mai; Dvir, Nim",Spring 2022,65192,1976
1240.0,45,16,05:21:58,34,4/25/2022 7:05:05 PM,1/27/2022 6:09:40 PM,"Liu, Mai; Dvir, Nim",Spring 2022,19318,568
1242.0,45,20,07:55:26,82,4/25/2022 2:05:42 PM,1/27/2022 6:10:05 PM,"Liu, Mai; Dvir, Nim",Spring 2022,28526,348
,45,15,17:09:30,24,4/25/2022 7:04:37 PM,1/27/2022 6:09:18 PM,"Liu, Mai; Dvir, Nim",Spring 2022,61770,2574
1248.0,45,13,23:23:09,27,4/28/2022 3:12:25 PM,2/1/2022 8:43:59 PM,"Liu, Mai; Dvir, Nim",Spring 2022,84189,3118
1254.0,45,15,22:29:07,59,5/3/2022 1:00:12 AM,1/27/2022 6:05:21 PM,"Liu, Mai; Dvir, Nim",Spring 2022,80947,1372
1257.0,45,19,15:20:39,29,4/20/2022 9:12:30 PM,1/28/2022 10:42:03 AM,"Liu, Mai; Dvir, Nim",Spring 2022,55239,1905
